fips,Communication,Economy,Education,Food and Water,Government,Healthcare Delivery and Public Health Services,Housing,Nurturing and Care,Population Well being,Transportation,Engineered Systems,Natural Systems,Preparedness,Deprivation,Inequality,Vulnerability,Social Cohesion
19003,0.476390088,0.589181448,0.691156912,0.500112139,0.539311994,0.600545562,0.553118364,0.708975313,0.607979533,0.560900423,0.434945146,0.680951451,0.501233137,0.567637613,0.393419544,0.501637336,0.384197764
19005,0.476390088,0.592634963,0.680504359,0.491155001,0.381238763,0.592771377,0.56624788,0.679221989,0.622398747,0.711733477,0.420751666,0.674896479,0.537432386,0.529162476,0.801465881,0.481901227,0.535987778
19007,0.311858224,0.508170892,0.600932317,0.552557842,0.572041186,0.528440324,0.541464952,0.625741071,0.469911043,0.560900423,0.442071872,0.669976605,0.482462274,0.4486164,0.419638047,0.492102358,0.477880579
19009,0.311858224,0.618373579,0.610469822,0.467192811,0.523728947,0.533801156,0.571727315,0.756098461,0.671874079,0.659110284,0.465040774,0.694767484,0.588834438,0.578417082,0.508322321,0.464730874,0.497285161
19011,0.641530679,0.582059718,0.526902863,0.464629226,0.359722914,0.534441929,0.484617379,0.623629337,0.686993168,0.476649289,0.449868451,0.695916534,0.519544993,0.615536691,0.716216961,0.517824455,0.475352055
19013,0.641530679,0.564360445,0.515101171,0.559335336,0.508986634,0.628364321,0.538513765,0.492696211,0.607370329,0.601702656,0.52540028,0.698721286,0.572051729,0.535078389,0.469272339,0.562879254,0.477708037
19015,0.476390088,0.576149447,0.567508902,0.497787471,0.508070259,0.557450425,0.529838633,0.569105848,0.578050129,0.542497268,0.448096648,0.701342306,0.501233137,0.587455287,0.592950528,0.508045459,0.517503433
19017,0.476390088,0.630296418,0.600808449,0.515793551,0.504438844,0.611464172,0.512913652,0.636559465,0.744272996,0.676800402,0.498163154,0.693899664,0.482462274,0.676303959,0.613652585,0.544943368,0.502909797
19019,0.476390088,0.583461357,0.590967982,0.42594893,0.408436464,0.589902448,0.509975927,0.535600505,0.620874211,0.470183978,0.51165573,0.69467253,0.605295189,0.616963395,0.711833103,0.495535112,0.558390844
19021,0.476390088,0.635784547,0.446713187,0.501755838,0.47050934,0.535928043,0.528878508,0.70798798,0.62974114,0.633613715,0.415868621,0.717530934,0.537432386,0.572607587,0.564332132,0.53322356,0.605847599
19023,0.476390088,0.560270146,0.575866181,0.450267972,0.533886616,0.505695098,0.569072336,0.76091617,0.680211655,0.5119243,0.481084461,0.699859305,0.621453202,0.605951408,0.626180371,0.495971568,0.526418884
19025,0.311858224,0.642723194,0.682885732,0.485686098,0.546573523,0.595253556,0.61827873,0.831973954,0.598570193,0.569608153,0.536782071,0.710288541,0.501233137,0.597209773,0.532130635,0.464066697,0.584648013
19027,0.476390088,0.753235664,0.596840908,0.572578151,0.473217367,0.6236558,0.59109605,0.612280415,0.663273386,0.532740315,0.453895081,0.701915006,0.519544993,0.635248424,0.52416236,0.478259348,0.507122071
19029,0.476390088,0.639475017,0.632788861,0.578322924,0.488785997,0.548719739,0.588053741,0.683875504,0.577739156,0.630251602,0.466145501,0.688049295,0.537432386,0.546497278,0.613652585,0.441946763,0.550908679
19031,0.476390088,0.582534967,0.609856508,0.496022418,0.361012017,0.504620782,0.490351503,0.684907723,0.763239959,0.489035231,0.482002016,0.681108893,0.519544993,0.655473536,0.833853861,0.520927132,0.513245886
